home_win_rate,home_form_points,home_avg_goals_scored,home_avg_goals_conceded,home_draw_rate,away_win_rate,away_form_points,away_avg_goals_scored,away_avg_goals_conceded,away_draw_rate,h2h_home_win_rate,h2h_draw_rate,label
0.0,0.0,2.25,4.25,0.0,0.5,1.5,4.5,4.5,0.0,0.0,0.0,1
1.0,2.5,5.25,2.75,0.0,0.5,1.0,5.25,3.5,0.0,1.0,0.0,0
0.5,1.5,2.75,3.0,0.0,0.0,0.5,2.0,4.75,0.0,1.0,0.0,0
1.0,2.0,6.75,2.75,0.0,0.5,1.0,4.25,3.25,0.0,1.0,0.0,1
0.25,1.0,2.0,2.75,0.0,0.6,1.5,3.2,4.2,0.0,0.0,0.0,0
0.8571,2.5,5.7143,4.1429,0.0,0.8571,1.5,4.7143,2.2857,0.0,1.0,0.0,0
0.0,0.0,1.8,5.2,0.0,0.6,1.5,5.4,3.6,0.0,0.0,0.0,0
0.25,2.0,3.25,4.25,0.0,0.5,1.5,4.75,5.0,0.0,0.0,0.0,1
1.0,3.0,5.0,2.4,0.0,0.4,1.0,4.4,3.6,0.0,1.0,0.0,0
0.2857,1.0,1.8571,3.7143,0.0,0.7143,1.5,4.5714,3.2857,0.0,0.0,0.0,0
0.2,1.0,4.8,4.8,0.0,1.0,1.5,6.0,2.5,0.0,0.0,0.0,0
0.75,2.0,6.25,5.75,0.0,0.5,1.5,3.5,3.0,0.0,1.0,0.0,1
0.5,1.5,2.75,2.5,0.0,0.25,1.0,2.5,4.5,0.0,1.0,0.0,0
0.6,2.0,3.6,2.8,0.0,0.0,0.0,2.0,5.2,0.0,1.0,0.0,1
0.8,2.5,4.6,2.0,0.0,0.2,0.5,2.4,5.0,0.0,1.0,0.0,0
0.4,1.0,2.2,2.4,0.0,0.5,1.0,2.8333,4.0,0.0,0.5,0.0,0
0.875,3.0,5.75,4.0,0.0,0.75,1.5,4.5,2.75,0.0,1.0,0.0,0
0.5714,2.0,3.8571,3.2857,0.0,0.4,2.0,5.0,5.4,0.0,0.5,0.0,1
0.6,1.5,3.8,4.8,0.0,0.6,1.0,2.6,1.6,0.0,0.5,0.0,0
0.8,1.5,5.4,3.2,0.0,0.6,1.5,4.4,2.6,0.0,0.5,0.0,0
0.375,1.5,2.125,3.25,0.0,0.625,1.5,4.0,3.375,0.0,0.5,0.0,0
0.1667,0.5,2.1667,4.5,0.0,0.5,1.5,4.6667,3.6667,0.0,0.3333,0.0,1
0.5,1.5,3.5,3.1667,0.0,0.1667,0.5,2.5,4.8333,0.0,0.6667,0.0,0
0.6,1.5,5.2,5.4,0.0,0.6,1.5,3.6,2.6,0.0,0.5,0.0,1
0.2,1.5,2.6,5.2,0.0,0.6,2.0,5.6,4.0,0.0,0.0,0.0,1
1.0,3.0,5.0,2.6667,0.0,0.3333,1.0,4.3333,3.8333,0.0,1.0,0.0,0
0.8,2.0,5.4,2.8,0.0,0.2857,2.0,3.7143,4.4286,0.0,0.5,0.0,0
0.3333,1.0,5.0,4.8333,0.0,0.8,1.0,5.8,3.2,0.0,0.5,0.0,1
0.6,2.0,3.4,2.4,0.0,0.2,0.5,2.4,4.8,0.0,1.0,0.0,0
0.5,1.0,3.6667,3.6667,0.0,0.6667,1.5,4.3333,3.6667,0.0,0.45,0.0,1
0.0,1.5,2.6667,6.3333,0.0,0.5,1.5,4.0,2.8333,0.0,0.45,0.0,1
0.3333,1.5,5.0,5.3333,0.0,0.5,2.0,5.0,4.8333,0.0,0.45,0.0,1
0.6667,1.5,3.6667,4.0,0.0,0.5,1.0,2.5,2.5,0.0,0.45,0.0,0
0.8333,1.5,5.1667,3.0,0.0,0.1667,2.0,2.1667,5.5,0.0,0.45,0.0,0
0.8333,2.0,6.0,2.5,0.0,0.6667,2.0,5.5,3.8333,0.0,0.45,0.0,0
0.6667,2.0,3.6667,2.3333,0.0,0.6667,1.5,5.3333,5.0,0.0,0.45,0.0,1
0.5,1.5,4.8333,5.8333,0.0,0.6667,2.0,4.3333,2.6667,0.0,0.3333,0.0,0
0.1667,0.5,2.6667,6.0,0.0,0.1667,0.5,2.1667,4.5,0.0,0.45,0.0,1
0.1429,0.0,2.4286,6.0,0.0,0.2857,1.0,2.7143,4.0,0.0,0.0,0.0,1
0.1429,0.5,2.0,4.5714,0.0,0.3333,3.0,3.3333,4.6667,0.0,0.45,0.0,0
0.4286,1.0,3.8571,4.1429,0.0,0.75,2.0,5.0,4.0,0.0,0.0,0.0,1
0.0,1.0,2.75,6.25,0.0,0.5714,1.5,4.2857,2.8571,0.0,0.0,0.0,0
0.5,1.5,4.5,4.3333,0.0,0.4286,1.0,3.8571,5.0,0.0,0.45,0.0,1
0.25,1.0,4.5,7.5,0.0,0.5714,2.5,6.2857,4.5714,0.0,0.0,0.0,1
0.8571,1.5,5.4286,2.7143,0.0,0.1429,2.0,2.0,5.7143,0.0,1.0,0.0,0
0.75,1.5,3.75,3.75,0.0,0.4286,1.0,2.5714,2.7143,0.0,1.0,0.0,1
0.1667,1.0,2.6667,5.1667,0.0,0.6667,1.5,5.6667,4.8333,0.0,0.45,0.0,1
0.8571,2.5,5.4286,2.2857,0.0,0.5714,1.5,4.8571,3.5714,0.0,1.0,0.0,1
0.2857,1.0,4.5714,4.8571,0.0,0.5714,2.0,3.8571,3.2857,0.0,0.45,0.0,0
0.5,0.5,2.6667,3.8333,0.0,0.2857,1.0,4.5714,4.2857,0.0,0.45,0.0,0
0.5714,2.0,3.5714,2.8571,0.0,0.6,2.5,3.6,2.6,0.0,0.45,0.0,0
0.5714,1.5,3.4286,2.7143,0.0,0.75,1.5,5.25,4.25,0.0,0.0,0.0,1
1.0,3.0,5.2857,3.1429,0.0,0.8333,1.5,5.6667,3.0,0.0,0.45,0.0,0
0.375,1.0,3.75,4.375,0.0,0.8,2.5,5.2,3.8,0.0,0.0,0.0,0
0.25,1.0,2.5,4.25,0.0,0.25,2.5,3.0,5.0,0.0,1.0,0.0,0
0.2,1.5,5.0,5.2,0.0,0.5,1.0,3.875,4.25,0.0,0.5,0.0,1
0.4286,1.5,4.0,4.7143,0.0,0.5,1.5,4.25,4.5,0.0,0.0,0.0,0
0.125,0.0,3.375,7.25,0.0,0.375,1.0,4.375,4.75,0.0,0.0,0.0,1
0.875,2.0,5.5,3.0,0.0,0.125,1.5,2.375,5.75,0.0,1.0,0.0,1
1.0,3.0,5.5,2.875,0.0,0.7143,1.0,5.0,3.5714,0.0,1.0,0.0,0
0.2,0.5,4.8,7.4,0.0,0.625,2.5,6.375,4.75,0.0,0.0,0.0,0
0.75,2.0,5.0,2.625,0.0,0.625,2.0,4.875,3.375,0.0,0.5,0.0,1
0.375,1.5,5.625,5.0,0.0,0.5,1.5,4.125,4.5,0.0,1.0,0.0,0
0.5714,1.0,3.2857,3.7143,0.0,0.25,0.5,4.375,4.625,0.0,1.0,0.0,1
0.625,2.5,3.375,2.625,0.0,0.5,2.5,3.1667,2.5,0.0,1.0,0.0,1
0.5,1.5,4.0,3.5,0.0,0.8,2.0,6.0,5.0,0.0,0.0,0.0,0
0.6,1.0,3.4,4.2,0.0,0.5,1.5,3.0,2.625,0.0,0.5,0.0,0
0.1429,0.5,2.2857,4.5714,0.0,0.7143,1.5,5.0,4.1429,0.0,0.0,0.0,0
0.6667,1.5,3.8333,3.5,0.0,0.6667,2.0,6.1667,3.6667,0.0,0.45,0.0,1
0.25,1.0,2.875,4.625,0.0,0.625,1.5,5.0,4.5,0.0,0.5,0.0,0
0.4444,1.5,5.4444,4.6667,0.0,0.4444,1.0,3.8889,4.4444,0.0,1.0,0.0,0
0.1667,1.0,4.5,5.8333,0.0,0.5556,1.5,4.4444,4.0,0.0,0.3333,0.0,0
0.5556,2.0,3.5556,3.1111,0.0,0.5714,2.5,3.7143,2.8571,0.0,0.5,0.0,1
0.3333,1.5,2.5556,4.0,0.0,0.2,2.0,2.8,4.6,0.0,1.0,0.0,0
1.0,3.0,5.2222,2.7778,0.0,0.625,1.0,4.625,3.5,0.0,1.0,0.0,0
0.1111,0.0,3.1111,6.6667,0.0,0.4444,1.5,4.1111,4.3333,0.0,0.0,0.0,0
0.6667,1.5,4.8889,3.7778,0.0,0.6667,2.5,5.7778,3.4444,0.0,0.3333,0.0,1
0.5,1.0,3.0,4.0,0.0,0.3333,0.5,4.5556,4.2222,0.0,0.5,0.0,1
0.5556,2.0,4.0,3.4444,0.0,0.6667,1.5,5.5,4.8333,0.0,0.3333,0.0,0
0.3333,0.5,4.8333,6.8333,0.0,0.5556,2.0,6.1111,4.7778,0.0,0.3333,0.0,0
0.5,2.0,4.5,4.75,0.0,0.3333,2.0,4.0,3.8333,0.0,0.45,0.0,1
0.4286,1.5,6.1429,3.7143,0.0,0.6667,2.0,4.6667,3.6667,0.0,0.45,0.0,1
0.4286,1.0,4.4286,6.0,0.0,0.4286,2.0,3.2857,4.2857,0.0,0.45,0.0,0
0.4444,1.5,3.6667,4.1111,0.0,0.2222,1.5,2.4444,5.1111,0.0,0.45,0.0,0
0.7143,1.5,4.1429,2.5714,0.0,0.1667,1.5,2.6667,4.3333,0.0,0.45,0.0,1
0.2857,1.0,4.1429,5.0,0.0,0.4444,1.0,4.3333,4.8889,0.0,0.45,0.0,0
0.2,0.5,3.2,6.2,0.0,0.625,2.5,3.75,2.625,0.0,0.45,0.0,1
0.4444,1.0,2.7778,4.5556,0.0,0.5556,1.0,4.4444,3.7778,0.0,0.45,0.0,0
0.1667,1.0,3.0,5.8333,0.0,0.3333,1.5,4.6667,5.3333,0.0,0.45,0.0,0
0.3333,1.0,2.7778,4.2222,0.0,0.6667,2.0,6.3333,4.5,0.0,0.45,0.0,0
0.6667,1.5,4.0,3.8333,0.0,0.5714,1.5,5.2857,4.8571,0.0,0.45,0.0,1
0.6,1.0,4.5,3.6,0.0,0.4444,1.0,2.6667,3.0,0.0,0.45,0.0,1
0.3333,2.5,5.1667,5.5,0.0,0.5,3.0,3.3333,3.1667,0.0,0.45,0.0,0
0.5,1.0,5.8333,6.1667,0.0,0.5556,1.0,4.5556,4.2222,0.0,0.45,0.0,1
0.5714,1.5,3.5714,3.4286,0.0,0.7143,2.0,5.7143,3.4286,0.0,0.0,0.0,0
0.5,2.0,3.5,3.7,0.0,0.2,1.0,2.2,4.8,0.0,1.0,0.0,1
0.375,1.5,4.0,4.625,0.0,0.4,1.0,4.1,4.7,0.0,1.0,0.0,0
0.625,1.5,3.625,2.625,0.0,0.2857,1.5,2.7143,3.7143,0.0,0.0,0.0,1
0.5,1.5,4.625,5.75,0.0,0.375,2.0,3.375,4.5,0.0,1.0,0.0,1
0.4444,1.5,4.1111,4.6667,0.0,0.4286,2.0,4.0,3.4286,0.0,0.0,0.0,1
0.1818,0.5,2.9091,5.9091,0.0,0.6667,2.5,3.6667,2.3333,0.0,0.0,0.0,1
0.4286,0.5,5.7143,6.2857,0.0,0.6,1.5,4.8,4.3,0.0,0.0,0.0,0
0.4,1.5,3.7,4.1,0.0,0.5714,2.0,5.8571,5.5714,0.0,1.0,0.0,0
0.2857,1.5,3.0,5.2857,0.0,0.2857,1.0,4.2857,5.0,0.0,1.0,0.0,0
0.4286,2.5,5.2857,4.8571,0.0,0.4286,2.5,3.0,3.5714,0.0,1.0,0.0,1
0.375,1.0,5.875,3.875,0.0,0.7143,2.5,4.7143,3.7143,0.0,0.0,0.0,1
0.5455,1.0,4.1818,4.4545,0.0,0.5,1.5,3.7,2.8,0.0,0.0,0.0,0
0.5,1.5,2.6,4.1,0.0,0.5,0.5,4.0,3.5,0.0,1.0,0.0,1
0.4444,2.0,4.0,4.2222,0.0,0.3636,0.5,3.8182,4.6364,0.0,1.0,0.0,1
0.4545,1.5,3.6364,4.0909,0.0,0.2727,1.5,2.7273,4.8182,0.0,0.5,0.0,1
0.5556,1.0,4.1111,3.5556,0.0,0.375,1.5,3.75,4.25,0.0,0.0,0.0,0
0.4,1.0,3.8,4.4,0.0,0.5,2.0,3.75,3.125,0.0,0.0,0.0,1
0.3333,1.0,5.5556,4.4444,0.0,0.75,2.5,5.25,3.625,0.0,0.0,0.0,1
0.1667,0.5,2.9167,5.8333,0.0,0.7,2.5,3.8,2.4,0.0,0.0,0.0,0
0.375,2.0,4.875,5.25,0.0,0.5,2.5,3.625,3.375,0.0,0.5,0.0,0
0.4545,1.0,2.5455,4.1818,0.0,0.5455,1.0,4.0909,3.3636,0.0,0.5,0.0,0
0.5,0.5,5.625,6.0,0.0,0.5455,1.5,4.7273,4.3636,0.0,0.5,0.0,0
0.375,2.0,3.625,4.625,0.0,0.25,1.0,3.75,5.375,0.0,1.0,0.0,0
0.4545,2.0,3.7273,3.9091,0.0,0.5,1.5,5.375,5.375,0.0,1.0,0.0,0
0.5714,1.5,3.8571,4.2857,0.0,0.625,1.5,5.5,4.625,0.0,0.0,0.0,1
0.5833,1.0,4.1667,4.1667,0.0,0.4545,1.0,3.4545,2.9091,0.0,0.5,0.0,0
0.625,1.5,3.5,3.25,0.0,0.625,2.0,5.25,3.375,0.0,0.5,0.0,0
0.8889,1.0,5.8889,3.5556,0.0,0.4444,2.0,3.5556,4.4444,0.0,0.45,0.0,0
0.6,1.0,4.0,3.3,0.0,0.7778,2.5,5.4444,3.8889,0.0,0.45,0.0,1
0.3636,1.0,3.4545,4.7273,0.0,0.6667,1.5,4.0,3.2222,0.0,0.45,0.0,1
0.8333,2.0,4.1667,1.8333,0.0,0.1429,1.5,2.2857,4.7143,0.0,0.45,0.0,1
0.6667,1.5,4.3333,4.3333,0.0,0.8333,1.0,5.3333,3.3333,0.0,0.45,0.0,1
0.3333,1.0,4.0,5.1667,0.0,0.3333,1.0,4.1667,6.6667,0.0,0.45,0.0,1
0.5,2.0,3.625,3.5,0.0,0.5556,2.5,4.2222,2.7778,0.0,0.45,0.0,0
0.5,1.5,3.625,4.375,0.0,0.1667,1.0,2.3333,4.8333,0.0,0.45,0.0,0
0.4444,2.5,3.8889,4.3333,0.0,0.4444,2.0,3.6667,3.6667,0.0,0.45,0.0,1
0.5,0.5,3.3333,4.3333,0.0,0.2222,0.5,3.5556,5.4444,0.0,0.45,0.0,0
0.4444,2.5,5.0,5.1111,0.0,0.7143,2.5,5.0,4.5714,0.0,0.45,0.0,0
0.5714,1.0,5.1429,5.1429,0.0,0.4444,1.5,4.8889,5.3333,0.0,0.45,0.0,0
0.2,1.0,4.0,6.2,0.0,0.5556,1.5,5.0,3.5556,0.0,0.45,0.0,1
0.9,1.5,6.1,3.5,0.0,0.4,2.0,3.5,4.8,0.0,1.0,0.0,1
0.5455,0.5,4.0,3.8182,0.0,0.8,2.5,5.8,3.9,0.0,0.0,0.0,1
0.3,0.5,5.6,4.7,0.0,0.5556,2.0,3.8889,3.4444,0.0,0.45,0.0,0
0.3333,0.5,3.5,4.75,0.0,0.7,2.0,4.1,3.3,0.0,0.0,0.0,0
0.7143,2.0,3.7143,2.1429,0.0,0.25,1.5,2.5,4.25,0.0,0.0,0.0,0
0.5714,1.5,4.2857,4.4286,0.0,0.8571,1.5,5.2857,3.4286,0.0,0.0,0.0,0
0.2857,1.0,3.5714,4.8571,0.0,0.4286,1.5,4.0,5.8571,0.0,0.0,0.0,1
0.1667,1.0,3.6667,6.1667,0.0,0.6,1.5,5.1,3.4,0.0,0.0,0.0,1
0.5556,1.5,4.2222,4.5556,0.0,0.1429,1.0,2.8571,5.4286,0.0,1.0,0.0,0
0.4,2.5,3.6,4.2,0.0,0.5,2.0,3.6,3.4,0.0,0.0,0.0,0
0.5714,1.0,4.0,4.2857,0.0,0.2,0.0,3.6,5.7,0.0,1.0,0.0,1
0.5,2.5,4.9,4.7,0.0,0.625,2.5,4.5,4.5,0.0,1.0,0.0,0
0.625,1.0,5.25,5.125,0.0,0.4,1.0,4.9,5.4,0.0,1.0,0.0,1
0.5556,2.0,3.6667,3.1111,0.0,0.5,2.5,3.8,2.9,0.0,1.0,0.0,0
0.4545,2.5,3.6364,4.0909,0.0,0.4545,1.5,3.5455,3.4545,0.0,0.5,0.0,0
0.8182,1.5,5.6364,3.3636,0.0,0.4545,2.0,3.3636,4.4545,0.0,0.5,0.0,0
0.3636,1.0,5.6364,4.4545,0.0,0.5,1.5,3.7,3.7,0.0,1.0,0.0,1
0.3846,1.0,4.1538,4.7692,0.0,0.6364,2.0,4.1818,4.0909,0.0,0.5,0.0,0
0.25,0.5,3.25,4.5,0.0,0.5,2.0,3.75,5.25,0.0,0.0,0.0,1
0.6,2.0,3.9,3.0,0.0,0.4545,2.0,3.6364,3.1818,0.0,1.0,0.0,1
0.5,1.0,5.0,5.375,0.0,0.2727,0.5,4.4545,6.2727,0.0,0.5,0.0,1
0.75,2.0,4.625,2.5,0.0,0.2222,1.5,2.7778,5.0,0.0,0.5,0.0,0
0.1429,0.5,3.8571,6.8571,0.0,0.6364,1.5,5.6364,3.5455,0.0,0.0,0.0,0
0.6,1.5,4.2,4.3,0.0,0.125,1.0,2.75,5.25,0.0,1.0,0.0,1
0.5455,2.5,4.8182,4.4545,0.0,0.5556,2.0,4.2222,4.4444,0.0,1.0,0.0,1
0.625,2.0,4.125,4.125,0.0,0.75,1.5,4.875,3.375,0.0,0.5,0.0,1
0.5556,1.0,5.5556,5.7778,0.0,0.4545,1.0,5.4545,5.6364,0.0,0.5,0.0,0
0.5556,1.0,7.0,6.1111,0.0,0.25,2.0,3.375,5.0,0.0,0.45,0.0,0
0.5,0.5,3.9167,4.6667,0.0,0.8182,2.5,6.5455,3.8182,0.0,0.0,0.0,1
0.5556,1.5,4.4444,4.7778,0.0,0.2222,1.5,3.2222,5.3333,0.0,0.45,0.0,0
0.7778,1.5,4.8889,3.0,0.0,0.7778,2.0,5.4444,3.7778,0.0,0.45,0.0,0
0.4444,1.0,4.8889,6.2222,0.0,0.4,1.0,3.9,4.3,0.0,0.45,0.0,1
0.4444,3.0,2.3333,3.2222,0.0,0.5556,2.0,3.8889,4.8889,0.0,0.45,0.0,0
1.0,1.0,5.3,2.8,0.0,0.3333,1.0,5.1667,6.0833,0.0,0.45,0.0,1
0.3333,0.5,5.4167,4.5833,0.0,0.5455,2.0,3.9091,3.6364,0.0,0.5,0.0,1
0.7778,2.0,4.6667,2.4444,0.0,0.2,1.5,2.7,5.0,0.0,0.6667,0.0,0
0.25,1.0,4.25,6.625,0.0,0.4167,0.5,5.0833,5.5,0.0,0.45,0.0,1
0.5,3.0,2.4,3.1,0.0,0.5,1.5,3.7,4.7,0.0,1.0,0.0,0
0.4,1.5,2.6,3.8,0.0,0.5833,2.0,4.0833,3.75,0.0,0.45,0.0,0
0.4615,0.5,3.7692,4.8462,0.0,0.5833,1.5,3.9167,4.5,0.0,0.45,0.0,0
0.8333,2.0,5.75,3.3333,0.0,0.5714,1.0,4.7143,3.2857,0.0,0.45,0.0,0
0.8,2.0,5.1,2.5,0.0,0.5,2.0,4.0,3.0,0.0,0.45,0.0,0
0.6,2.0,5.2,4.5,0.0,0.2,1.5,3.1,6.0,0.0,1.0,0.0,0
0.8,1.5,5.2,2.8,0.0,0.7,2.0,5.0,4.2,0.0,1.0,0.0,0
0.6,1.5,5.4,5.3,0.0,0.7,2.0,5.4,3.2,0.0,0.45,0.0,1
0.4,1.0,4.5,6.1,0.0,0.4545,1.5,4.0,4.0,0.0,0.0,0.0,0
0.5,2.5,3.9167,4.0,0.0,0.1818,1.0,2.7273,5.3636,0.0,0.45,0.0,0
0.9091,1.0,5.0,3.2727,0.0,0.3846,1.5,5.3846,5.7692,0.0,0.0,0.0,0
0.6,1.5,7.1,5.7,0.0,0.6,2.0,4.1,4.2,0.0,0.45,0.0,1
0.5455,2.0,3.6364,3.4545,0.0,0.2222,1.0,3.3333,5.0,0.0,0.45,0.0,0
0.2222,0.5,3.1111,4.5556,0.0,0.5,0.5,4.0,3.8,0.0,0.45,0.0,1
0.2222,0.5,3.8889,6.4444,0.0,0.4615,1.0,5.0769,5.1538,0.0,0.0,0.0,0
0.8462,2.0,5.9231,3.0769,0.0,0.5,1.0,4.125,3.875,0.0,1.0,0.0,0
0.8182,2.0,5.0909,2.6364,0.0,0.6364,1.5,4.6364,4.1818,0.0,1.0,0.0,1
0.5,1.0,4.5,4.7143,0.0,0.5385,1.0,3.8462,5.2308,0.0,1.0,0.0,0
0.2,0.5,3.3,4.8,0.0,0.5455,1.0,4.2727,3.9091,0.0,0.0,0.0,0
0.4545,1.0,4.4545,5.8182,0.0,0.4167,1.5,3.9167,4.0,0.0,0.5,0.0,1
0.5455,3.0,2.5455,3.0909,0.0,0.4545,1.5,3.6364,4.6364,0.0,1.0,0.0,0
0.9167,1.0,4.9167,3.0,0.0,0.3571,1.5,5.0,5.6429,0.0,0.5,0.0,1
0.5455,1.5,6.4545,5.3636,0.0,0.6364,2.0,3.9091,3.8182,0.0,0.0,0.0,0
0.3,1.0,4.4,6.2,0.0,0.4286,1.0,5.0,5.4286,0.0,0.5,0.0,1
0.4545,1.5,2.6364,3.6364,0.0,0.5385,1.5,3.9231,3.6923,0.0,1.0,0.0,0
0.5833,2.5,3.4167,3.1667,0.0,0.2,1.0,3.0,4.6,0.0,1.0,0.0,1
0.8182,2.0,4.8182,2.3636,0.0,0.4615,1.5,3.7692,2.9231,0.0,1.0,0.0,0
0.6364,2.0,4.8182,4.0909,0.0,0.1818,1.0,2.8182,5.5455,0.0,1.0,0.0,0
0.5455,1.0,5.0909,5.0909,0.0,0.7273,2.0,5.1818,3.0909,0.0,0.0,0.0,1
0.5385,2.5,3.9231,3.9231,0.0,0.1667,1.0,2.75,5.25,0.0,1.0,0.0,0
0.5,1.0,4.8333,5.0,0.0,0.75,2.5,5.0833,3.0,0.0,0.0,0.0,1
0.5333,1.5,4.4667,4.5333,0.0,0.5,0.5,3.7143,5.1429,0.0,1.0,0.0,0
0.8571,2.0,5.9286,3.1429,0.0,0.4444,1.0,4.1111,4.1111,0.0,1.0,0.0,0
0.2727,1.0,3.7273,5.0,0.0,0.5,1.0,4.5,4.25,0.0,0.5,0.0,1
0.5385,2.0,3.2308,3.3846,0.0,0.2727,1.5,3.2727,4.2727,0.0,0.5,0.0,1
0.8333,2.5,4.5833,2.25,0.0,0.4286,1.0,3.5714,2.8571,0.0,1.0,0.0,0
0.6667,2.0,4.8333,4.0,0.0,0.1667,1.0,2.8333,5.5,0.0,1.0,0.0,0
0.5,2.0,2.8333,3.6667,0.0,0.5,1.0,3.9286,3.7857,0.0,1.0,0.0,0
0.75,2.0,4.75,2.5833,0.0,0.6667,1.5,4.4167,3.9167,0.0,0.6667,0.0,1
0.4167,1.0,4.4167,6.0,0.0,0.4615,2.0,4.2308,4.0,0.0,0.3333,0.0,0
0.5833,2.0,6.25,4.9167,0.0,0.5833,1.5,3.5833,3.8333,0.0,0.5,0.0,0
0.5714,2.5,4.1429,3.6429,0.0,0.1538,0.5,2.5385,5.3846,0.0,1.0,0.0,1
0.2727,1.0,4.3636,6.6364,0.0,0.4667,1.5,5.4,5.3333,0.0,0.3333,0.0,0
