date,home_team,away_team,home_goals,away_goals,winner,competition,season,source
2015-04-05,Chicago Cubs,St. Louis Cardinals,0,3,AWAY_TEAM,MLB,2015,mlb
2015-04-06,New York Yankees,Toronto Blue Jays,1,6,AWAY_TEAM,MLB,2015,mlb
2015-04-06,Detroit Tigers,Minnesota Twins,4,0,HOME_TEAM,MLB,2015,mlb
2015-04-06,Milwaukee Brewers,Colorado Rockies,0,10,AWAY_TEAM,MLB,2015,mlb
2015-04-06,Philadelphia Phillies,Boston Red Sox,0,8,AWAY_TEAM,MLB,2015,mlb
2015-04-06,Tampa Bay Rays,Baltimore Orioles,2,6,AWAY_TEAM,MLB,2015,mlb
2015-04-06,Washington Nationals,New York Mets,1,3,AWAY_TEAM,MLB,2015,mlb
2015-04-06,Cincinnati Reds,Pittsburgh Pirates,5,2,HOME_TEAM,MLB,2015,mlb
2015-04-06,Los Angeles Dodgers,San Diego Padres,6,3,HOME_TEAM,MLB,2015,mlb
2015-04-06,Seattle Mariners,Los Angeles Angels,4,1,HOME_TEAM,MLB,2015,mlb
2015-04-06,Kansas City Royals,Chicago White Sox,10,1,HOME_TEAM,MLB,2015,mlb
2015-04-06,Miami Marlins,Atlanta Braves,1,2,AWAY_TEAM,MLB,2015,mlb
2015-04-06,Houston Astros,Cleveland Indians,2,0,HOME_TEAM,MLB,2015,mlb
2015-04-06,Oakland Athletics,Texas Rangers,8,0,HOME_TEAM,MLB,2015,mlb
2015-04-06,Arizona Diamondbacks,San Francisco Giants,4,5,AWAY_TEAM,MLB,2015,mlb
2015-04-07,Tampa Bay Rays,Baltimore Orioles,5,6,AWAY_TEAM,MLB,2015,mlb
2015-04-07,Miami Marlins,Atlanta Braves,2,12,AWAY_TEAM,MLB,2015,mlb
2015-04-07,Milwaukee Brewers,Colorado Rockies,2,5,AWAY_TEAM,MLB,2015,mlb
2015-04-07,Arizona Diamondbacks,San Francisco Giants,7,6,HOME_TEAM,MLB,2015,mlb
2015-04-07,Oakland Athletics,Texas Rangers,1,3,AWAY_TEAM,MLB,2015,mlb
2015-04-07,Los Angeles Dodgers,San Diego Padres,3,7,AWAY_TEAM,MLB,2015,mlb
2015-04-07,Seattle Mariners,Los Angeles Angels,0,2,AWAY_TEAM,MLB,2015,mlb
2015-04-08,Detroit Tigers,Minnesota Twins,11,0,HOME_TEAM,MLB,2015,mlb
2015-04-08,Chicago Cubs,St. Louis Cardinals,2,0,HOME_TEAM,MLB,2015,mlb
2015-04-08,Washington Nationals,New York Mets,2,1,HOME_TEAM,MLB,2015,mlb
2015-04-08,Philadelphia Phillies,Boston Red Sox,4,2,HOME_TEAM,MLB,2015,mlb
2015-04-08,New York Yankees,Toronto Blue Jays,4,3,HOME_TEAM,MLB,2015,mlb
2015-04-08,Cincinnati Reds,Pittsburgh Pirates,5,4,HOME_TEAM,MLB,2015,mlb
2015-04-08,Tampa Bay Rays,Baltimore Orioles,2,0,HOME_TEAM,MLB,2015,mlb
2015-04-08,Miami Marlins,Atlanta Braves,0,2,AWAY_TEAM,MLB,2015,mlb
2015-04-08,Houston Astros,Cleveland Indians,0,2,AWAY_TEAM,MLB,2015,mlb
2015-04-08,Kansas City Royals,Chicago White Sox,7,5,HOME_TEAM,MLB,2015,mlb
2015-04-08,Milwaukee Brewers,Colorado Rockies,4,5,AWAY_TEAM,MLB,2015,mlb
2015-04-08,Arizona Diamondbacks,San Francisco Giants,2,5,AWAY_TEAM,MLB,2015,mlb
2015-04-08,Oakland Athletics,Texas Rangers,10,0,HOME_TEAM,MLB,2015,mlb
2015-04-08,Los Angeles Dodgers,San Diego Padres,7,4,HOME_TEAM,MLB,2015,mlb
2015-04-08,Seattle Mariners,Los Angeles Angels,3,5,AWAY_TEAM,MLB,2015,mlb
2015-04-09,Cincinnati Reds,Pittsburgh Pirates,3,2,HOME_TEAM,MLB,2015,mlb
2015-04-09,Washington Nationals,New York Mets,3,6,AWAY_TEAM,MLB,2015,mlb
2015-04-09,Detroit Tigers,Minnesota Twins,7,1,HOME_TEAM,MLB,2015,mlb
2015-04-09,Houston Astros,Cleveland Indians,1,5,AWAY_TEAM,MLB,2015,mlb
2015-04-09,Kansas City Royals,Chicago White Sox,4,1,HOME_TEAM,MLB,2015,mlb
2015-04-09,Oakland Athletics,Texas Rangers,1,10,AWAY_TEAM,MLB,2015,mlb
2015-04-09,San Diego Padres,San Francisco Giants,0,1,AWAY_TEAM,MLB,2015,mlb
2015-04-09,Philadelphia Phillies,Boston Red Sox,2,6,AWAY_TEAM,MLB,2015,mlb
2015-04-09,New York Yankees,Toronto Blue Jays,3,6,AWAY_TEAM,MLB,2015,mlb
2015-04-10,Baltimore Orioles,Toronto Blue Jays,5,12,AWAY_TEAM,MLB,2015,mlb
2015-04-10,Texas Rangers,Houston Astros,1,5,AWAY_TEAM,MLB,2015,mlb
2015-04-10,Colorado Rockies,Chicago Cubs,5,1,HOME_TEAM,MLB,2015,mlb
2015-04-10,Cleveland Indians,Detroit Tigers,4,8,AWAY_TEAM,MLB,2015,mlb
2015-04-10,Chicago White Sox,Minnesota Twins,0,6,AWAY_TEAM,MLB,2015,mlb
2015-04-10,Philadelphia Phillies,Washington Nationals,4,1,HOME_TEAM,MLB,2015,mlb
2015-04-10,New York Yankees,Boston Red Sox,5,6,AWAY_TEAM,MLB,2015,mlb
2015-04-10,Cincinnati Reds,St. Louis Cardinals,5,4,HOME_TEAM,MLB,2015,mlb
2015-04-10,Miami Marlins,Tampa Bay Rays,10,9,HOME_TEAM,MLB,2015,mlb
2015-04-10,Atlanta Braves,New York Mets,5,3,HOME_TEAM,MLB,2015,mlb
2015-04-10,Milwaukee Brewers,Pittsburgh Pirates,2,6,AWAY_TEAM,MLB,2015,mlb
2015-04-10,Arizona Diamondbacks,Los Angeles Dodgers,4,3,HOME_TEAM,MLB,2015,mlb
2015-04-10,Los Angeles Angels,Kansas City Royals,2,4,AWAY_TEAM,MLB,2015,mlb
2015-04-10,Oakland Athletics,Seattle Mariners,12,0,HOME_TEAM,MLB,2015,mlb
2015-04-10,San Diego Padres,San Francisco Giants,1,0,HOME_TEAM,MLB,2015,mlb
2015-04-11,New York Yankees,Boston Red Sox,4,8,AWAY_TEAM,MLB,2015,mlb
2015-04-11,Cincinnati Reds,St. Louis Cardinals,1,4,AWAY_TEAM,MLB,2015,mlb
2015-04-11,Chicago White Sox,Minnesota Twins,5,4,HOME_TEAM,MLB,2015,mlb
2015-04-11,Oakland Athletics,Seattle Mariners,4,5,AWAY_TEAM,MLB,2015,mlb
2015-04-11,Cleveland Indians,Detroit Tigers,6,9,AWAY_TEAM,MLB,2015,mlb
2015-04-11,Miami Marlins,Tampa Bay Rays,0,2,AWAY_TEAM,MLB,2015,mlb
2015-04-11,Baltimore Orioles,Toronto Blue Jays,7,1,HOME_TEAM,MLB,2015,mlb
2015-04-11,Philadelphia Phillies,Washington Nationals,3,2,HOME_TEAM,MLB,2015,mlb
2015-04-11,Atlanta Braves,New York Mets,5,3,HOME_TEAM,MLB,2015,mlb
2015-04-11,Milwaukee Brewers,Pittsburgh Pirates,6,0,HOME_TEAM,MLB,2015,mlb
2015-04-11,Texas Rangers,Houston Astros,6,2,HOME_TEAM,MLB,2015,mlb
2015-04-11,Colorado Rockies,Chicago Cubs,5,9,AWAY_TEAM,MLB,2015,mlb
2015-04-11,Arizona Diamondbacks,Los Angeles Dodgers,6,0,HOME_TEAM,MLB,2015,mlb
2015-04-11,San Diego Padres,San Francisco Giants,10,2,HOME_TEAM,MLB,2015,mlb
2015-04-11,Los Angeles Angels,Kansas City Royals,4,6,AWAY_TEAM,MLB,2015,mlb
2015-04-12,Cleveland Indians,Detroit Tigers,5,8,AWAY_TEAM,MLB,2015,mlb
2015-04-12,Cincinnati Reds,St. Louis Cardinals,5,7,AWAY_TEAM,MLB,2015,mlb
2015-04-12,Miami Marlins,Tampa Bay Rays,5,8,AWAY_TEAM,MLB,2015,mlb
2015-04-12,Baltimore Orioles,Toronto Blue Jays,7,10,AWAY_TEAM,MLB,2015,mlb
2015-04-12,Philadelphia Phillies,Washington Nationals,3,4,AWAY_TEAM,MLB,2015,mlb
2015-04-12,Atlanta Braves,New York Mets,3,4,AWAY_TEAM,MLB,2015,mlb
2015-04-12,Chicago White Sox,Minnesota Twins,6,2,HOME_TEAM,MLB,2015,mlb
2015-04-12,Milwaukee Brewers,Pittsburgh Pirates,2,10,AWAY_TEAM,MLB,2015,mlb
2015-04-12,Texas Rangers,Houston Astros,4,6,AWAY_TEAM,MLB,2015,mlb
2015-04-12,Los Angeles Angels,Kansas City Royals,2,9,AWAY_TEAM,MLB,2015,mlb
2015-04-12,Oakland Athletics,Seattle Mariners,7,8,AWAY_TEAM,MLB,2015,mlb
2015-04-12,Colorado Rockies,Chicago Cubs,5,6,AWAY_TEAM,MLB,2015,mlb
2015-04-12,Arizona Diamondbacks,Los Angeles Dodgers,4,7,AWAY_TEAM,MLB,2015,mlb
2015-04-12,San Diego Padres,San Francisco Giants,6,4,HOME_TEAM,MLB,2015,mlb
2015-04-12,New York Yankees,Boston Red Sox,14,4,HOME_TEAM,MLB,2015,mlb
2015-04-13,New York Mets,Philadelphia Phillies,2,0,HOME_TEAM,MLB,2015,mlb
2015-04-13,Pittsburgh Pirates,Detroit Tigers,5,4,HOME_TEAM,MLB,2015,mlb
2015-04-13,Boston Red Sox,Washington Nationals,9,4,HOME_TEAM,MLB,2015,mlb
2015-04-13,Minnesota Twins,Kansas City Royals,3,12,AWAY_TEAM,MLB,2015,mlb
2015-04-13,St. Louis Cardinals,Milwaukee Brewers,4,5,AWAY_TEAM,MLB,2015,mlb
2015-04-13,San Francisco Giants,Colorado Rockies,0,2,AWAY_TEAM,MLB,2015,mlb
2015-04-13,Baltimore Orioles,New York Yankees,5,6,AWAY_TEAM,MLB,2015,mlb
2015-04-13,Toronto Blue Jays,Tampa Bay Rays,1,2,AWAY_TEAM,MLB,2015,mlb
2015-04-13,Atlanta Braves,Miami Marlins,3,2,HOME_TEAM,MLB,2015,mlb
2015-04-13,Chicago Cubs,Cincinnati Reds,7,6,HOME_TEAM,MLB,2015,mlb
2015-04-13,Texas Rangers,Los Angeles Angels,3,6,AWAY_TEAM,MLB,2015,mlb
2015-04-13,Houston Astros,Oakland Athletics,1,8,AWAY_TEAM,MLB,2015,mlb
2015-04-13,San Diego Padres,Arizona Diamondbacks,4,8,AWAY_TEAM,MLB,2015,mlb
2015-04-13,Los Angeles Dodgers,Seattle Mariners,6,5,HOME_TEAM,MLB,2015,mlb
2015-04-14,Boston Red Sox,Washington Nationals,8,7,HOME_TEAM,MLB,2015,mlb
2015-04-14,Pittsburgh Pirates,Detroit Tigers,0,2,AWAY_TEAM,MLB,2015,mlb
2015-04-14,Baltimore Orioles,New York Yankees,4,3,HOME_TEAM,MLB,2015,mlb
2015-04-14,Toronto Blue Jays,Tampa Bay Rays,2,3,AWAY_TEAM,MLB,2015,mlb
2015-04-14,New York Mets,Philadelphia Phillies,6,5,HOME_TEAM,MLB,2015,mlb
2015-04-14,Cleveland Indians,Chicago White Sox,1,4,AWAY_TEAM,MLB,2015,mlb
2015-04-14,Atlanta Braves,Miami Marlins,2,8,AWAY_TEAM,MLB,2015,mlb
2015-04-14,Chicago Cubs,Cincinnati Reds,2,3,AWAY_TEAM,MLB,2015,mlb
2015-04-14,Texas Rangers,Los Angeles Angels,8,2,HOME_TEAM,MLB,2015,mlb
2015-04-14,Houston Astros,Oakland Athletics,0,4,AWAY_TEAM,MLB,2015,mlb
2015-04-14,San Diego Padres,Arizona Diamondbacks,5,1,HOME_TEAM,MLB,2015,mlb
2015-04-14,Los Angeles Dodgers,Seattle Mariners,6,5,HOME_TEAM,MLB,2015,mlb
2015-04-14,San Francisco Giants,Colorado Rockies,1,4,AWAY_TEAM,MLB,2015,mlb
2015-04-15,Cleveland Indians,Chicago White Sox,4,2,HOME_TEAM,MLB,2015,mlb
2015-04-15,Atlanta Braves,Miami Marlins,2,6,AWAY_TEAM,MLB,2015,mlb
2015-04-15,Boston Red Sox,Washington Nationals,5,10,AWAY_TEAM,MLB,2015,mlb
2015-04-15,Texas Rangers,Los Angeles Angels,2,10,AWAY_TEAM,MLB,2015,mlb
2015-04-15,Pittsburgh Pirates,Detroit Tigers,0,1,AWAY_TEAM,MLB,2015,mlb
